key,name,other_names,annotation,notes
castaño,Dr. Sergio Castaño,,"Destinatario de las cartas. Actualmente el Dr. Castaño es investigador principal de CONICET, pero para ese entonces, a principios de la década del 90', buscaba comenzar sus estudios doctorales en Filosofía.",
derisi,Monseñor Octavio Derisi,,"Arzobispo de Buenos Aires, fundador de la Sociedad Tomística Argentina y de la Universidad Católica Argentina.",
busa,Dr. Roberto Busa,,Autor de las cartas. Jesuita italiano experto en el corpus tomístico y figura pionera de las Humanidades Digitales.,
quevedo,Francisco de Quevedo,,"Francisco de Quevedo (1580-1645) fue un destacado escritor y poeta español del Siglo de Oro, conocido por su ingenio satírico y su aguda crítica social.",
gaspar,Gaspar de Guzmán,,"Gaspar de Guzmán, conocido como el Conde-Duque de Olivares, sirvió como valido del rey Felipe IV de España. Olivares es recordado por sus intentos de centralizar el poder y reformar la administración española, aunque sus políticas también llevaron a conflictos y revueltas en Cataluña y Portugal.",
melisso,Melisso Mago,,"Mago ficticio que representa a un sabio con habilidades esotéricas. Esta figura encarna la tradición del mago como un erudito capaz de acceder a conocimientos prohibidos o misteriosos, propios del ocultismo.",
neron,Nerón Claudio César Augusto Germánico,,"Antiguo emperador del Imperio romano cuyo reinado marcó el final de la dinastía Julio-Claudia (que hace referencia a los primeros cinco emperadores romanos emparentados con Julio César), nombrado sucesor por su tío Claudio quien anteriormente lo había adoptado.",
,,,,
quevedo,Francisco de Quevedo,,"Fue un noble, político y escritor español del Siglo de Oro.",
adam,Juan Adam de la Parra,,Fue un escritor español y fiscal de la Inquisición.,
augusti,San Agustín de Hipona,San Agustín ,"Fue un escritor, teólogo, filósofo, cristiano y obispo de Hipona, desde donde dirigió una serie de luchas contra las herejías de los maniqueos, los donatistas y el pelagianismo.",
,,,,
horozco,Sebastián de Horozco,,"Fue un paremiólogo, historiador, poeta y dramaturgo español del Siglo de Oro.",
ramírez,Antonia Ramírez,,"Viuda de Horozco, fue una figura destacada en el mundo de la impresión en Salamanca durante el siglo XVII.",
adan,Adan,,"Según la antropogonía de las religiones abrahámicas, Adam es el primer hombre.",
eva,Eva,,"Según las religiones abrahámicas es la primera mujer que Dios creó sobre la Tierra con el objetivo de formar la primera pareja humana junto a Adán, el primer hombre.",
josé,José,,"José o Iōsēph en latín es un personaje importante del libro bíblico del Génesis, ancestro de dos tribus de Israel.",
cristo,Christo,,"El significado bíblico de Cristo es ""Mesías"". ""Cristo"" proviene de la palabra griega Christos, que significa ""ungido"" o ""elegido"".",
jesus,Iesu de Nazare,,"Frase latina Iesus Nazarenus Rex Iudaeorum, la cual se traduce al español como Jesús de Nazaret, rey de los judíos.",
pilato,Claudia Prócula,,"Fue la esposa de Poncio Pilato, y su historia adquiere relevancia en los eventos que rodearon el juicio y la crucifixión de Jesús.",
,,,,
verardi,Carlo Verardi,,"Archidiácono de Cesena y secretario apostólico bajo los pontificados de Paulo II, Sexto IV, Inocencio VIII y Alejandro VI",
fernando,Fernando II de Aragón,,"Rey de Aragón, de Castilla, ​Sicilia, Nápoles, Cerdeña y Navarra. Su matrimonio con Isabel I de Castilla adquiere relevancia junto con la recuperación de Granada",
isabel,Isabel I de Castilla,,"Reina de Castilla​ desde 1474 hasta 1504, reina consorte de Sicilia desde 1469 y de Aragón desde 1479,​ por su matrimonio con Fernando de Aragón",